instrument,Date,time,CLOSE,HIGH,LOW,OPEN,VOLUME
NIFTY,20160519,11:53,7847.65,7848.10,7846.60,7847.20,4725,0
NIFTY,20160519,11:54,7846.95,7847.60,7845.55,7845.75,6975,0
NIFTY,20160519,11:55,7845.30,7846.20,7845.20,7845.65,8250,0
NIFTY,20160519,11:56,7845.60,7845.60,7843.30,7843.90,3750,0
NIFTY,20160519,11:57,7843.70,7844.40,7843.40,7844.15,4575,0
NIFTY,20160519,11:58,7843.95,7844.20,7842.95,7843.05,8025,0
NIFTY,20160519,11:59,7842.60,7843.25,7841.15,7841.70,16425,0
NIFTY,20160519,12:00,7841.25,7842.20,7840.70,7841.45,11100,0
NIFTY,20160519,12:01,7841.60,7842.55,7841.00,7841.65,10275,0
NIFTY,20160519,12:02,7842.05,7842.80,7840.75,7842.80,4350,0
NIFTY,20160519,12:03,7842.75,7843.55,7841.65,7841.85,5250,0
NIFTY,20160519,12:04,7842.20,7843.85,7841.90,7843.15,6975,0
NIFTY,20160519,12:05,7842.85,7843.65,7841.80,7841.80,14175,0
NIFTY,20160519,12:06,7842.25,7842.95,7841.80,7842.75,6075,0
NIFTY,20160519,12:07,7842.60,7842.90,7839.40,7839.90,31200,0
NIFTY,20160519,12:08,7840.35,7841.20,7840.30,7840.95,9525,0
NIFTY,20160519,12:09,7840.70,7840.95,7839.95,7840.45,12000,0
NIFTY,20160519,12:10,7840.75,7841.55,7840.35,7841.55,16050,0
NIFTY,20160519,12:11,7842.05,7842.05,7840.85,7841.30,7425,0
NIFTY,20160519,12:12,7841.40,7843.30,7841.40,7843.30,6150,0
NIFTY,20160519,12:13,7843.25,7844.30,7842.75,7844.20,5250,0
NIFTY,20160519,12:14,7843.70,7846.85,7843.65,7846.85,14625,0
NIFTY,20160519,12:15,7846.95,7847.35,7843.45,7844.70,4275,0
NIFTY,20160519,12:16,7844.75,7845.65,7844.35,7845.55,7200,0
NIFTY,20160519,12:17,7845.15,7845.40,7843.25,7844.60,8400,0
NIFTY,20160519,12:18,7844.35,7845.15,7843.00,7843.80,8325,0
NIFTY,20160519,12:19,7843.75,7844.15,7843.30,7844.00,5475,0
NIFTY,20160519,12:20,7844.05,7845.20,7843.55,7845.20,4650,0
NIFTY,20160519,12:21,7844.95,7845.55,7844.15,7845.55,5100,0
NIFTY,20160519,12:22,7845.30,7845.30,7842.90,7843.80,13425,0
NIFTY,20160519,12:23,7843.30,7845.30,7843.20,7844.35,14475,0
NIFTY,20160519,12:24,7844.40,7844.55,7843.15,7844.45,1350,0
NIFTY,20160519,12:25,7844.50,7844.65,7843.60,7844.55,2475,0
NIFTY,20160519,12:26,7844.20,7845.30,7843.95,7845.30,5175,0
NIFTY,20160519,12:27,7845.35,7845.35,7841.60,7842.15,9900,0
NIFTY,20160519,12:28,7841.70,7841.70,7838.85,7840.70,15150,0
NIFTY,20160519,12:29,7840.55,7841.60,7839.80,7841.05,7050,0
NIFTY,20160519,12:30,7841.10,7841.10,7839.20,7839.50,8850,0
NIFTY,20160519,12:31,7839.60,7842.45,7838.60,7842.10,16725,0
NIFTY,20160519,12:32,7842.15,7842.15,7838.90,7839.40,14250,0
NIFTY,20160519,12:33,7839.45,7839.45,7836.10,7837.95,61875,0
NIFTY,20160519,12:34,7838.10,7838.65,7837.20,7838.15,10800,0
NIFTY,20160519,12:35,7838.50,7839.10,7837.15,7837.45,11100,0
NIFTY,20160519,12:36,7837.20,7837.75,7835.75,7837.70,10575,0
NIFTY,20160519,12:37,7837.65,7840.55,7837.45,7839.80,20250,0
NIFTY,20160519,12:38,7839.70,7839.80,7837.45,7837.55,11625,0
NIFTY,20160519,12:39,7837.50,7837.75,7836.50,7836.75,22125,0
NIFTY,20160519,12:40,7837.05,7837.05,7828.35,7831.10,219975,0
NIFTY,20160519,12:41,7830.80,7831.35,7829.45,7829.45,56400,0
NIFTY,20160519,12:42,7829.50,7832.10,7829.50,7830.45,24675,0
NIFTY,20160519,12:43,7830.50,7832.15,7830.30,7831.65,14475,0
NIFTY,20160519,12:44,7831.50,7832.00,7828.80,7829.15,11400,0
NIFTY,20160519,12:45,7828.65,7829.45,7828.05,7829.00,23550,0
NIFTY,20160519,12:46,7828.60,7828.90,7826.05,7827.00,38400,0
NIFTY,20160519,12:47,7826.90,7829.05,7824.60,7828.90,32025,0
NIFTY,20160519,12:48,7828.60,7830.80,7827.20,7830.75,16050,0
NIFTY,20160519,12:49,7830.30,7830.30,7826.65,7828.90,29700,0
NIFTY,20160519,12:50,7829.05,7830.20,7828.50,7829.05,15750,0
NIFTY,20160519,12:51,7829.25,7829.25,7825.70,7826.45,28875,0
NIFTY,20160519,12:52,7826.55,7827.45,7822.55,7822.65,268650,0
NIFTY,20160519,12:53,7820.90,7824.85,7819.30,7821.75,100800,0
NIFTY,20160519,12:54,7821.80,7821.90,7816.30,7817.60,107775,0
NIFTY,20160519,12:55,7817.85,7817.85,7807.35,7811.65,635025,0
NIFTY,20160519,12:56,7811.80,7813.45,7811.30,7812.20,91725,0
