Script, DateTime, Open, High, Low, Close, Volume, WAP, Count 
KSCL, 20150819, 530.0, 531.15, 481.0, 492.65, 256985, 503.155, 12344 
KSCL, 20150820, 494.95, 515.0, 428.65, 485.2, 443881, 478.7, 12809 
KSCL, 20150821, 470.65, 483.0, 443.05, 468.6, 364262, 466.655, 9879 
KSCL, 20150824, 421.5, 450.0, 417.0, 422.6, 279499, 431.75, 6769 
KSCL, 20150825, 431.0, 458.7, 401.4, 448.6, 192570, 425.4625, 4855 
KSCL, 20150826, 448.6, 491.35, 434.5, 471.0, 289254, 465.195, 9017 
KSCL, 20150827, 481.0, 499.8, 479.55, 493.5, 318297, 490.755, 8176 
KSCL, 20150828, 506.35, 513.6, 482.0, 489.15, 253500, 501.89, 6694 
KSCL, 20150831, 487.0, 498.0, 469.65, 490.95, 130025, 485.94, 3922 
KSCL, 20150901, 486.6, 492.8, 473.05, 478.45, 100628, 482.5925, 3294 
KSCL, 20150902, 481.05, 489.1, 473.0, 474.8, 68757, 479.515, 2743 
KSCL, 20150903, 483.8, 483.8, 432.7, 446.85, 176808, 462.2275, 4659 
KSCL, 20150904, 448.85, 464.8, 427.7, 458.65, 277226, 451.2525, 6362 
KSCL, 20150907, 458.75, 468.8, 446.5, 459.5, 163512, 459.81, 4015 
KSCL, 20150908, 460.0, 464.55, 434.85, 442.35, 118428, 453.68, 3717 
KSCL, 20150909, 446.05, 452.0, 438.0, 443.75, 144770, 444.115, 4268 
KSCL, 20150910, 432.0, 447.0, 431.15, 445.0, 92191, 442.2025, 2992 
KSCL, 20150911, 453.0, 462.15, 443.0, 446.9, 102914, 452.75, 2963 
KSCL, 20150914, 447.0, 461.9, 439.2, 459.85, 129080, 456.885, 3861 
KSCL, 20150915, 461.1, 486.65, 461.1, 464.95, 178763, 473.355, 5319 
KSCL, 20150916, 474.0, 479.4, 450.05, 451.85, 133399, 461.26, 3735 
KSCL, 20150918, 455.0, 460.85, 438.05, 444.3, 202852, 446.88, 4820 
KSCL, 20150921, 441.35, 447.8, 436.1, 443.25, 107639, 442.5375, 3226 
KSCL, 20150922, 447.0, 449.0, 428.05, 432.05, 96113, 438.7825, 2977 
KSCL, 20150923, 425.0, 436.0, 421.05, 424.05, 103957, 426.815, 4565 
KSCL, 20150924, 426.85, 429.85, 418.55, 427.1, 190810, 425.0975, 5171 
KSCL, 20150928, 426.95, 438.0, 426.05, 431.8, 122578, 432.7, 3192 
KSCL, 20150929, 428.0, 433.45, 424.5, 426.25, 87844, 429.53, 2807 
KSCL, 20150930, 431.0, 431.5, 421.75, 423.95, 63710, 425.7325, 2288 
KSCL, 20151001, 430.8, 435.2, 425.3, 427.85, 61517, 430.5, 2603 
KSCL, 20151005, 432.0, 434.8, 426.25, 429.65, 59215, 430.5325, 2164 
KSCL, 20151006, 433.8, 469.8, 428.1, 465.05, 221696, 452.44, 6023 
KSCL, 20151007, 469.0, 480.6, 468.0, 471.8, 168641, 473.79, 4421 
KSCL, 20151008, 472.0, 480.9, 457.15, 465.45, 145847, 469.88, 3896 
KSCL, 20151009, 469.95, 478.0, 465.1, 471.75, 94800, 472.86, 5090 
KSCL, 20151012, 472.8, 489.0, 469.0, 477.5, 128072, 480.8175, 5031 
KSCL, 20151013, 473.0, 498.0, 473.0, 493.2, 95902, 485.0125, 2854 
KSCL, 20151014, 494.95, 502.7, 482.45, 491.0, 130181, 495.06, 4092 
KSCL, 20151015, 489.0, 489.0, 472.25, 475.0, 86417, 479.4825, 3443 
KSCL, 20151016, 465.1, 477.65, 459.5, 463.3, 93361, 464.4225, 3140 
KSCL, 20151019, 460.3, 494.8, 460.3, 492.2, 180772, 484.9475, 5846 
KSCL, 20151020, 494.95, 496.65, 480.55, 485.55, 57536, 486.8125, 2190 
KSCL, 20151021, 488.75, 508.95, 488.65, 496.95, 146536, 498.9425, 4165 
KSCL, 20151023, 500.95, 504.6, 494.45, 500.95, 70090, 500.5375, 2341 
KSCL, 20151026, 504.8, 522.7, 498.0, 517.4, 140055, 505.57, 2855 
KSCL, 20151027, 519.0, 539.8, 515.0, 535.05, 224380, 530.54, 6082 
KSCL, 20151028, 534.9, 543.6, 507.35, 517.8, 197150, 527.975, 4411 
KSCL, 20151029, 518.0, 529.0, 511.5, 525.7, 124699, 522.59, 3652 
KSCL, 20151030, 528.8, 528.8, 501.05, 505.35, 67497, 514.445, 2112 
KSCL, 20151102, 505.2, 510.0, 471.4, 481.25, 163090, 483.33, 4364 
KSCL, 20151103, 480.2, 482.85, 466.25, 474.05, 108068, 473.1425, 3345 
KSCL, 20151104, 477.0, 478.5, 460.45, 464.65, 85462, 468.275, 2547 
KSCL, 20151105, 464.7, 468.7, 444.3, 451.1, 121997, 452.6975, 3081 
KSCL, 20151106, 455.0, 455.0, 434.0, 439.5, 78778, 439.755, 2422 
KSCL, 20151109, 430.0, 455.0, 427.0, 452.95, 78446, 446.305, 2741 
KSCL, 20151110, 451.0, 466.9, 444.0, 462.45, 84939, 456.905, 2466 
KSCL, 20151111, 462.6, 469.7, 450.0, 451.95, 25417, 453.4275, 853 
KSCL, 20151113, 448.85, 452.0, 425.3, 434.0, 247848, 436.7025, 7196 
KSCL, 20151116, 416.1, 432.9, 378.0, 387.95, 270792, 410.9525, 8743 
KSCL, 20151117, 397.0, 426.7, 390.4, 418.25, 502188, 412.1775, 11278 
KSCL, 20151118, 420.0, 424.3, 404.6, 412.6, 363067, 413.8625, 7507 
KSCL, 20151119, 420.7, 423.5, 410.0, 412.2, 203870, 416.2675, 4472 
KSCL, 20151120, 414.8, 419.7, 407.4, 416.95, 123736, 414.145, 2927 
KSCL, 20151123, 419.0, 432.95, 419.0, 430.25, 182755, 427.8175, 7288 
KSCL, 20151124, 431.0, 440.1, 424.8, 427.75, 188812, 434.34, 5011 
KSCL, 20151126, 432.0, 432.9, 408.5, 422.6, 360699, 422.295, 6276 
KSCL, 20151127, 426.6, 431.0, 424.0, 428.1, 86978, 427.2825, 3401 
KSCL, 20151130, 426.2, 429.9, 418.05, 423.7, 89129, 423.09, 2266 
KSCL, 20151201, 425.9, 426.05, 415.1, 417.15, 78342, 420.0325, 2243 
KSCL, 20151202, 419.35, 430.45, 417.0, 421.45, 94855, 424.295, 2988 
KSCL, 20151203, 417.7, 424.25, 415.1, 416.15, 67387, 419.53, 2135 
KSCL, 20151204, 416.15, 416.8, 402.2, 406.0, 106268, 408.015, 2898 
KSCL, 20151207, 409.95, 414.4, 408.0, 409.85, 61180, 410.6625, 3014 
KSCL, 20151208, 408.0, 412.5, 394.65, 397.15, 74825, 404.075, 3060 
KSCL, 20151209, 396.55, 401.05, 380.0, 382.75, 87308, 387.8475, 2492 
KSCL, 20151210, 382.0, 386.5, 366.9, 371.05, 135156, 373.745, 4025 
KSCL, 20151211, 371.5, 379.0, 368.0, 369.85, 124718, 372.2, 4379 
KSCL, 20151214, 376.0, 391.0, 376.0, 387.75, 206182, 384.6875, 5445 
KSCL, 20151215, 390.65, 391.75, 378.3, 383.35, 98746, 383.7675, 3004 
KSCL, 20151216, 386.0, 389.5, 378.0, 379.85, 76451, 382.95, 2064 
KSCL, 20151217, 382.2, 386.9, 379.5, 381.95, 104376, 381.8925, 2459 
KSCL, 20151218, 381.0, 393.75, 381.0, 386.35, 173863, 388.69, 3994 
KSCL, 20151221, 389.0, 389.5, 348.5, 353.15, 562202, 360.9875, 10431 
KSCL, 20151222, 357.4, 363.15, 345.1, 348.15, 543804, 353.605, 8856 
KSCL, 20151223, 354.0, 354.0, 340.3, 342.7, 566474, 345.845, 9036 
KSCL, 20151224, 339.2, 349.9, 339.2, 346.9, 243858, 344.8975, 4150 
KSCL, 20151228, 338.0, 371.6, 324.9, 368.95, 658750, 358.6525, 9767 
KSCL, 20151229, 362.75, 374.9, 344.9, 349.25, 689335, 359.7775, 10003 
KSCL, 20151230, 351.5, 355.0, 303.65, 317.95, 927902, 334.25, 15550 
KSCL, 20151231, 315.0, 354.0, 314.7, 350.75, 1374779, 342.385, 14060 
KSCL, 20160104, 355.0, 371.4, 348.5, 367.6, 658402, 361.965, 9653 
KSCL, 20160105, 368.0, 390.95, 360.7, 387.35, 695430, 376.9925, 11255 
KSCL, 20160106, 387.0, 395.8, 378.5, 384.85, 518469, 386.215, 7654 
KSCL, 20160107, 379.4, 381.0, 365.7, 368.95, 279638, 372.805, 9689 
KSCL, 20160108, 372.95, 378.2, 366.8, 374.5, 249458, 372.9125, 3639 
KSCL, 20160111, 369.0, 371.75, 358.0, 361.65, 173120, 365.68, 2996 
KSCL, 20160112, 362.25, 368.0, 359.35, 361.75, 185067, 363.33, 3716 
KSCL, 20160113, 365.4, 368.85, 338.4, 350.25, 195804, 354.305, 3913 
KSCL, 20160114, 345.0, 353.8, 340.2, 345.9, 133612, 347.7625, 2851 
KSCL, 20160115, 348.0, 351.8, 320.45, 324.45, 118073, 339.58, 2841 
KSCL, 20160118, 326.0, 329.7, 301.55, 315.75, 144180, 319.435, 4017 
KSCL, 20160119, 318.95, 338.45, 317.2, 334.6, 187458, 328.0525, 3875 
KSCL, 20160120, 328.95, 340.7, 322.8, 335.95, 214925, 333.22, 4063 
KSCL, 20160121, 344.8, 346.45, 330.2, 332.15, 167754, 337.4775, 3614 
KSCL, 20160122, 338.85, 341.95, 325.8, 331.1, 180358, 333.96, 3818 
KSCL, 20160125, 334.1, 339.6, 328.6, 330.9, 119342, 334.095, 2142 
